"INCIDENT","PENALTY","VICTIM","LOCATION","COUNTRY","WHEN","MOON_NIGHT_BEFORE","YEAR","RESULT","GOALS"
"kick in the butt","Yellow card","defender","his team penalty area","Uruguay",70,"Full",1992,"Win",2
"finger in the eye","Not Caught","journalist","off field","Uruguay",29,"Half",1992,"Win",0
"scratch","Not Caught","spectator","off field","Uruguay",24,"No Moon",1992,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1992,"Loss",2
"headbutt","None","None","opponent team penalty area","Uruguay",62,"Full",1992,"Win",1
"headbutt","Red Card","journalist","off field","Uruguay",4,"Half",1992,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1992,"Draw",1
"bite","Yellow card","midfielder","midfield","Uruguay",83,"Full",1992,"Win",1
"spit in the face","yellow card","journalist","off field","Uruguay",82,"Half",1992,"Draw",0
"bite","Suspended for several games","journalist","off field","Uruguay",26,"Full",1992,"Win",1
"bite","None","defender","off field","Uruguay",17,"Half",1992,"Draw",0
"none","None","None","No location","Uruguay",90,"Full",1993,"Loss",2
"bite","None","forward","midfield","Uruguay",81,"Half",1993,"Win",1
"none","None","None","No location","Uruguay",90,"Full",1993,"Win",1
"scratch","Suspended for several games","defender","off field","Uruguay",71,"Full",1993,"Draw",2
"none","None","None","No location","Uruguay",90,"Half",1993,"Loss",2
"spit in the face","yellow card","referee","midfield","Uruguay",72,"No Moon",1993,"Win",2
"scratch","Yellow card","midfielder","opponent team penalty area","Uruguay",27,"No Moon",1993,"Loss",0
"bite","Not Caught","midfielder","off field","Uruguay",84,"No Moon",1993,"Loss",2
"bite","Yellow card","referee","midfield","Uruguay",86,"Full",1993,"Loss",0
"bite","Not Caught","midfielder","his team penalty area","Uruguay",26,"Half",1993,"Win",0
"bite","Yellow card","forward","off field","Uruguay",73,"Half",1993,"Draw",3
"headbutt","Not Caught","spectator","off field","Uruguay",50,"Half",1993,"Draw",2
"bite","None","referee","off field","Uruguay",81,"No Moon",1993,"Draw",1
"kick in the butt","Suspended for several games","goalkeeper","off field","Uruguay",63,"Half",1993,"Win",2
"none","None","None","No location","Uruguay",90,"Half",1993,"Win",2
"headbutt","Not Caught","goalkeeper","opponent team penalty area","Uruguay",79,"Half",1993,"Loss",1
"headbutt","Not Caught","journalist","off field","Uruguay",23,"No Moon",1993,"Win",0
"bite","Suspended for several games","goalkeeper","his team penalty area","Uruguay",29,"Half",1993,"Win",3
"kick in the butt","Red Card","defender","midfield","Uruguay",57,"Full",1993,"Win",1
"scratch","Not Caught","defender","his team penalty area","Uruguay",17,"Full",1993,"Loss",0
"spit in the face","yellow card","spectator","off field","Uruguay",9,"No Moon",1993,"Win",2
"bite","Yellow card","goalkeeper","opponent team penalty area","Uruguay",87,"No Moon",1993,"Loss",2
"kick in the butt","Suspended for several games","journalist","off field","Uruguay",46,"No Moon",1993,"Loss",1
"scratch","Yellow card","goalkeeper","opponent team penalty area","Uruguay",41,"No Moon",1993,"Draw",1
"finger in the eye","Red Card","spectator","off field","Uruguay",30,"Half",1993,"Loss",1
"headbutt","Yellow card","spectator","off field","Uruguay",15,"Full",1993,"Win",1
"spit in the face","yellow card","forward","his team penalty area","Uruguay",21,"No Moon",1993,"Win",1
"headbutt","Red Card","journalist","off field","Uruguay",62,"Half",1993,"Loss",2
"none","None","None","No location","Uruguay",90,"Half",1993,"Loss",0
"bite","Suspended for several games","midfielder","his team penalty area","Uruguay",64,"Half",1993,"Win",0
"none","None","None","No location","Uruguay",90,"No Moon",1993,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1993,"Loss",1
"none","None","None","No location","Uruguay",90,"Full",1993,"Draw",2
"scratch","Yellow card","defender","midfield","Uruguay",19,"No Moon",1993,"Win",2
"none","None","None","No location","Uruguay",90,"Half",1993,"Win",2
"none","None","None","No location","Uruguay",90,"Half",1993,"Draw",2
"finger in the eye","Yellow card","referee","opponent team penalty area","Uruguay",88,"No Moon",1993,"Win",0
"bite","None","None","his team penalty area","Uruguay",20,"No Moon",1993,"Win",0
"bite","Suspended for several games","journalist","off field","Uruguay",81,"No Moon",1993,"Win",2
"none","None","None","No location","Uruguay",90,"Half",1993,"Loss",1
"bite","None","referee","opponent team penalty area","Uruguay",20,"Half",1993,"Win",2
"spit in the face","yellow card","journalist","off field","Uruguay",30,"Half",1993,"Win",3
"scratch","Red Card","defender","midfield","Uruguay",69,"Half",1993,"Win",2
"none","None","None","No location","Uruguay",90,"No Moon",1993,"Win",1
"scratch","Not Caught","spectator","off field","Uruguay",53,"Half",1993,"Win",1
"scratch","Red Card","goalkeeper","his team penalty area","Uruguay",35,"Full",1993,"Loss",0
"spit in the face","yellow card","midfielder","opponent team penalty area","Uruguay",24,"Full",1993,"Loss",2
"headbutt","Suspended for several games","defender","opponent team penalty area","Uruguay",39,"Full",1993,"Draw",1
"finger in the eye","Red Card","forward","his team penalty area","Uruguay",17,"No Moon",1993,"Win",0
"bite","Not Caught","None","his team penalty area","Uruguay",2,"Half",1993,"Loss",2
"bite","Red Card","defender","his team penalty area","Uruguay",81,"Full",1993,"Draw",1
"headbutt","Red Card","None","opponent team penalty area","Uruguay",4,"Half",1993,"Draw",1
"kick in the butt","Not Caught","midfielder","midfield","Uruguay",55,"Full",1993,"Draw",0
"scratch","Red Card","spectator","off field","Uruguay",56,"No Moon",1993,"Win",1
"kick in the butt","Yellow card","goalkeeper","midfield","Uruguay",86,"Half",1993,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1993,"Draw",1
"bite","None","None","opponent team penalty area","Uruguay",82,"Full",1993,"Win",0
"headbutt","Suspended for several games","goalkeeper","his team penalty area","Uruguay",61,"Half",1993,"Draw",3
"headbutt","Suspended for several games","spectator","off field","Uruguay",19,"Full",1993,"Draw",2
"none","None","None","No location","Uruguay",90,"No Moon",1993,"Draw",1
"scratch","Not Caught","defender","opponent team penalty area","Uruguay",90,"Full",1993,"Loss",2
"scratch","Suspended for several games","defender","his team penalty area","Uruguay",1,"Full",1993,"Win",2
"headbutt","Suspended for several games","defender","off field","Uruguay",71,"Full",1993,"Loss",2
"kick in the butt","Yellow card","midfielder","off field","Uruguay",15,"No Moon",1993,"Draw",1
"finger in the eye","Yellow card","None","opponent team penalty area","Uruguay",61,"Full",1993,"Loss",0
"scratch","Red Card","referee","midfield","Uruguay",0,"Half",1993,"Draw",3
"headbutt","Suspended for several games","goalkeeper","off field","Uruguay",20,"No Moon",1993,"Loss",1
"spit in the face","yellow card","spectator","off field","Uruguay",75,"No Moon",1993,"Win",0
"spit in the face","yellow card","spectator","off field","Uruguay",44,"Half",1993,"Loss",1
"headbutt","Yellow card","forward","off field","Uruguay",51,"Full",1993,"Win",1
"finger in the eye","Red Card","defender","his team penalty area","Uruguay",71,"No Moon",1993,"Win",1
"headbutt","Not Caught","defender","off field","Uruguay",7,"Half",1993,"Loss",0
"spit in the face","yellow card","spectator","off field","Uruguay",89,"No Moon",1993,"Loss",0
"finger in the eye","Red Card","referee","midfield","Uruguay",24,"Full",1993,"Loss",4
"bite","Suspended for several games","defender","opponent team penalty area","Uruguay",44,"No Moon",1993,"Draw",2
"bite","Suspended for several games","journalist","off field","Uruguay",86,"No Moon",1993,"Win",0
"none","None","None","No location","Uruguay",90,"No Moon",1993,"Draw",1
"bite","Yellow card","defender","midfield","Uruguay",43,"Full",1994,"Win",1
"scratch","Not Caught","spectator","off field","Uruguay",87,"No Moon",1994,"Win",2
"headbutt","None","midfielder","off field","Uruguay",60,"No Moon",1994,"Win",1
"bite","Not Caught","forward","opponent team penalty area","Uruguay",37,"Full",1994,"Loss",1
"spit in the face","yellow card","goalkeeper","midfield","Uruguay",27,"No Moon",1994,"Draw",0
"spit in the face","yellow card","spectator","off field","Uruguay",75,"Full",1994,"Loss",0
"finger in the eye","Suspended for several games","referee","opponent team penalty area","Uruguay",66,"Full",1994,"Win",1
"bite","Suspended for several games","referee","off field","Uruguay",84,"Full",1994,"Win",1
"scratch","Yellow card","goalkeeper","off field","Uruguay",25,"Half",1994,"Win",1
"bite","Not Caught","goalkeeper","his team penalty area","Uruguay",75,"Full",1994,"Win",1
"bite","Red Card","spectator","off field","Uruguay",80,"Half",1994,"Draw",1
"bite","Yellow card","journalist","off field","Uruguay",87,"Half",1994,"Win",0
"headbutt","Red Card","goalkeeper","his team penalty area","Uruguay",15,"Full",1994,"Loss",0
"spit in the face","yellow card","forward","his team penalty area","Uruguay",59,"Half",1994,"Draw",1
"scratch","Red Card","midfielder","off field","Uruguay",2,"Half",1994,"Win",2
"headbutt","Not Caught","forward","off field","Uruguay",42,"No Moon",1994,"Loss",1
"bite","Red Card","None","midfield","Uruguay",33,"Full",1994,"Draw",2
"none","None","None","No location","Uruguay",90,"Half",1994,"Win",0
"bite","Suspended for several games","forward","opponent team penalty area","Uruguay",84,"Half",1994,"Draw",0
"headbutt","Red Card","midfielder","his team penalty area","Uruguay",83,"Half",1994,"Loss",1
"none","None","None","No location","Uruguay",90,"Half",1994,"Win",1
"headbutt","None","defender","his team penalty area","Uruguay",20,"Full",1994,"Win",2
"kick in the butt","Red Card","spectator","off field","Uruguay",84,"Half",1994,"Loss",0
"spit in the face","yellow card","forward","his team penalty area","Uruguay",1,"Full",1994,"Win",3
"none","None","None","No location","Uruguay",90,"No Moon",1994,"Loss",0
"bite","Red Card","spectator","off field","Uruguay",82,"No Moon",1994,"Draw",0
"kick in the butt","Suspended for several games","spectator","off field","Uruguay",71,"No Moon",1994,"Win",0
"none","None","None","No location","Uruguay",90,"Half",1994,"Win",2
"spit in the face","yellow card","defender","off field","Uruguay",43,"Half",1994,"Win",0
"bite","Suspended for several games","midfielder","his team penalty area","Uruguay",88,"Full",1994,"Loss",0
"spit in the face","yellow card","defender","his team penalty area","Uruguay",57,"Full",1994,"Win",0
"finger in the eye","Red Card","goalkeeper","opponent team penalty area","Uruguay",24,"Full",1994,"Loss",0
"headbutt","None","goalkeeper","opponent team penalty area","Uruguay",56,"No Moon",1994,"Loss",2
"bite","Suspended for several games","spectator","off field","Uruguay",32,"No Moon",1994,"Draw",1
"none","None","None","No location","Uruguay",90,"Half",1994,"Loss",0
"none","None","None","No location","Uruguay",90,"Half",1994,"Win",1
"headbutt","Red Card","referee","off field","Uruguay",16,"Full",1994,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1994,"Win",1
"bite","Yellow card","spectator","off field","Uruguay",89,"Full",1994,"Win",0
"none","None","None","No location","Uruguay",90,"Half",1994,"Draw",1
"none","None","None","No location","Uruguay",90,"Full",1994,"Loss",2
"bite","Not Caught","forward","opponent team penalty area","Uruguay",81,"Full",1994,"Loss",0
"bite","Not Caught","journalist","off field","Uruguay",81,"No Moon",1994,"Win",1
"finger in the eye","Yellow card","forward","off field","Uruguay",88,"No Moon",1994,"Draw",2
"none","None","None","No location","Uruguay",90,"Full",1994,"Loss",1
"headbutt","Not Caught","referee","opponent team penalty area","Uruguay",46,"Full",1994,"Loss",0
"headbutt","Not Caught","midfielder","his team penalty area","Uruguay",29,"No Moon",1994,"Win",0
"scratch","Yellow card","referee","his team penalty area","Uruguay",1,"No Moon",1994,"Draw",2
"spit in the face","yellow card","referee","his team penalty area","Uruguay",6,"No Moon",1994,"Win",0
"headbutt","Yellow card","defender","off field","Uruguay",11,"Half",1994,"Draw",0
"spit in the face","yellow card","midfielder","his team penalty area","Uruguay",76,"Full",1994,"Draw",2
"bite","Red Card","goalkeeper","off field","Uruguay",90,"Full",1994,"Loss",0
"spit in the face","yellow card","referee","midfield","Uruguay",83,"No Moon",1994,"Win",1
"kick in the butt","Yellow card","journalist","off field","Uruguay",41,"Full",1994,"Win",0
"spit in the face","yellow card","goalkeeper","opponent team penalty area","Uruguay",30,"Full",1994,"Win",1
"scratch","Not Caught","referee","midfield","Uruguay",77,"No Moon",1994,"Draw",1
"none","None","None","No location","Uruguay",90,"Half",1994,"Win",1
"finger in the eye","Suspended for several games","defender","his team penalty area","Uruguay",1,"Half",1994,"Win",2
"scratch","None","spectator","off field","Uruguay",75,"No Moon",1994,"Win",0
"bite","Red Card","journalist","off field","Uruguay",65,"Full",1994,"Loss",2
"spit in the face","yellow card","None","opponent team penalty area","Uruguay",27,"Full",1994,"Win",2
"spit in the face","yellow card","goalkeeper","his team penalty area","Uruguay",55,"Full",1994,"Draw",1
"scratch","Suspended for several games","midfielder","his team penalty area","Uruguay",82,"Full",1994,"Loss",1
"none","None","None","No location","Uruguay",90,"Full",1994,"Win",2
"headbutt","Not Caught","journalist","off field","Uruguay",21,"Half",1994,"Draw",0
"scratch","Yellow card","forward","opponent team penalty area","Uruguay",3,"Half",1994,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1994,"Draw",1
"none","None","None","No location","Uruguay",90,"Half",1994,"Win",3
"bite","Red Card","forward","opponent team penalty area","Uruguay",88,"Full",1994,"Win",1
"scratch","Red Card","midfielder","opponent team penalty area","Uruguay",6,"No Moon",1994,"Draw",0
"kick in the butt","Red Card","midfielder","his team penalty area","Uruguay",88,"No Moon",1994,"Win",0
"spit in the face","yellow card","spectator","off field","Uruguay",35,"Half",1994,"Loss",3
"bite","Red Card","None","opponent team penalty area","Uruguay",86,"Full",1994,"Draw",0
"bite","Red Card","forward","off field","Uruguay",83,"Full",1994,"Loss",1
"spit in the face","yellow card","None","off field","Uruguay",23,"No Moon",1994,"Win",2
"kick in the butt","Not Caught","goalkeeper","opponent team penalty area","Uruguay",86,"Full",1994,"Win",1
"headbutt","Not Caught","forward","off field","Uruguay",4,"Full",1994,"Draw",3
"finger in the eye","Suspended for several games","defender","opponent team penalty area","Uruguay",29,"Half",1994,"Win",2
"bite","Red Card","journalist","off field","Uruguay",83,"Half",1994,"Draw",1
"none","None","None","No location","Uruguay",90,"Full",1994,"Loss",0
"spit in the face","yellow card","forward","off field","Uruguay",89,"Half",1994,"Draw",0
"spit in the face","yellow card","spectator","off field","Uruguay",27,"Half",1994,"Loss",1
"scratch","Suspended for several games","referee","midfield","Uruguay",12,"No Moon",1994,"Draw",1
"scratch","Yellow card","None","his team penalty area","Uruguay",18,"No Moon",1994,"Draw",1
"finger in the eye","Not Caught","goalkeeper","midfield","Uruguay",62,"No Moon",1994,"Win",0
"spit in the face","yellow card","forward","opponent team penalty area","Uruguay",68,"No Moon",1994,"Win",0
"finger in the eye","Not Caught","forward","off field","Uruguay",75,"No Moon",1995,"Draw",0
"headbutt","Red Card","defender","opponent team penalty area","Uruguay",42,"Full",1995,"Loss",1
"bite","Suspended for several games","goalkeeper","his team penalty area","Uruguay",86,"No Moon",1995,"Win",0
"scratch","Yellow card","journalist","off field","Uruguay",60,"Half",1995,"Loss",0
"kick in the butt","Yellow card","spectator","off field","Uruguay",3,"No Moon",1995,"Win",0
"spit in the face","yellow card","defender","midfield","Uruguay",34,"Full",1995,"Win",0
"bite","Not Caught","referee","off field","Uruguay",12,"Full",1995,"Loss",2
"bite","Suspended for several games","journalist","off field","Uruguay",41,"Half",1995,"Win",0
"headbutt","Yellow card","spectator","off field","Uruguay",20,"Full",1995,"Win",1
"headbutt","Yellow card","None","off field","Uruguay",24,"Half",1995,"Draw",0
"kick in the butt","Yellow card","defender","opponent team penalty area","Uruguay",11,"Full",1995,"Draw",1
"scratch","Yellow card","referee","off field","Uruguay",57,"No Moon",1995,"Loss",0
"bite","Yellow card","spectator","off field","Uruguay",86,"No Moon",1995,"Draw",3
"headbutt","Suspended for several games","defender","his team penalty area","Uruguay",46,"Half",1995,"Win",2
"none","None","None","No location","Uruguay",90,"No Moon",1995,"Win",0
"spit in the face","yellow card","forward","opponent team penalty area","Uruguay",47,"Half",1995,"Win",0
"finger in the eye","Red Card","None","his team penalty area","Uruguay",72,"Full",1995,"Loss",1
"finger in the eye","None","forward","midfield","Uruguay",82,"Full",1995,"Draw",3
"none","None","None","No location","Uruguay",90,"No Moon",1995,"Win",1
"kick in the butt","Yellow card","forward","off field","Uruguay",44,"Half",1995,"Loss",2
"spit in the face","yellow card","midfielder","opponent team penalty area","Uruguay",10,"Full",1995,"Win",0
"scratch","Suspended for several games","forward","midfield","Uruguay",72,"Full",1995,"Loss",2
"spit in the face","yellow card","defender","opponent team penalty area","Uruguay",87,"Full",1995,"Draw",0
"bite","Yellow card","defender","off field","Uruguay",69,"No Moon",1995,"Win",3
"none","None","None","No location","Uruguay",90,"Half",1995,"Draw",1
"scratch","Not Caught","midfielder","off field","Uruguay",65,"No Moon",1995,"Loss",2
"bite","Yellow card","spectator","off field","Uruguay",83,"Half",1995,"Win",2
"headbutt","Not Caught","referee","his team penalty area","Uruguay",76,"Half",1995,"Loss",0
"headbutt","None","None","opponent team penalty area","Uruguay",72,"Half",1995,"Draw",0
"scratch","Red Card","referee","his team penalty area","Uruguay",53,"Full",1995,"Loss",0
"bite","Yellow card","forward","his team penalty area","Uruguay",49,"Half",1995,"Loss",1
"finger in the eye","Yellow card","defender","his team penalty area","Uruguay",52,"Full",1995,"Loss",2
"bite","Suspended for several games","midfielder","off field","Uruguay",40,"Half",1995,"Loss",0
"none","None","None","No location","Uruguay",90,"No Moon",1995,"Draw",1
"scratch","None","journalist","off field","Uruguay",62,"Half",1995,"Win",1
"headbutt","Yellow card","defender","opponent team penalty area","Uruguay",52,"Full",1995,"Loss",1
"none","None","None","No location","Uruguay",90,"Half",1995,"Loss",1
"headbutt","Red Card","journalist","off field","Uruguay",90,"No Moon",1995,"Loss",1
"kick in the butt","Suspended for several games","None","off field","Uruguay",26,"Half",1995,"Win",2
"bite","Not Caught","midfielder","off field","Uruguay",85,"No Moon",1995,"Loss",1
"none","None","None","No location","Uruguay",90,"No Moon",1995,"Win",1
"none","None","None","No location","Uruguay",90,"Full",1995,"Loss",1
"scratch","Not Caught","journalist","off field","Uruguay",11,"No Moon",1995,"Win",2
"spit in the face","yellow card","spectator","off field","Uruguay",11,"Full",1995,"Loss",3
"bite","Not Caught","forward","midfield","Uruguay",4,"No Moon",1995,"Win",2
"kick in the butt","Red Card","spectator","off field","Uruguay",14,"No Moon",1995,"Win",2
"kick in the butt","Yellow card","forward","his team penalty area","Uruguay",19,"Full",1995,"Draw",1
"bite","Not Caught","spectator","off field","Uruguay",62,"Full",1995,"Win",2
"bite","None","referee","his team penalty area","Uruguay",9,"No Moon",1995,"Draw",2
"spit in the face","yellow card","forward","midfield","Uruguay",7,"No Moon",1995,"Loss",0
"none","None","None","No location","Uruguay",90,"No Moon",1995,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1995,"Win",0
"none","None","None","No location","Uruguay",90,"Half",1995,"Loss",1
"none","None","None","No location","Uruguay",90,"Half",1995,"Win",1
"headbutt","Not Caught","spectator","off field","Uruguay",32,"Half",1995,"Loss",2
"none","None","None","No location","Uruguay",90,"Half",1995,"Loss",1
"finger in the eye","Yellow card","forward","his team penalty area","Uruguay",60,"Half",1995,"Win",1
"bite","None","journalist","off field","Uruguay",19,"Half",1995,"Loss",0
"headbutt","Yellow card","journalist","off field","Uruguay",69,"No Moon",1995,"Win",3
"none","None","None","No location","Uruguay",90,"Full",1995,"Win",3
"finger in the eye","Yellow card","referee","midfield","Uruguay",26,"No Moon",1995,"Win",2
"bite","Yellow card","defender","midfield","Uruguay",60,"No Moon",1995,"Win",2
"bite","Not Caught","defender","opponent team penalty area","Uruguay",86,"No Moon",1995,"Win",1
"headbutt","Yellow card","forward","opponent team penalty area","Uruguay",82,"Half",1995,"Win",0
"none","None","None","No location","Uruguay",90,"Half",1995,"Draw",2
"bite","None","midfielder","midfield","Uruguay",89,"Half",1995,"Win",2
"scratch","Red Card","midfielder","opponent team penalty area","Uruguay",37,"No Moon",1995,"Draw",0
"none","None","None","No location","Uruguay",90,"Full",1995,"Loss",3
"none","None","None","No location","Uruguay",90,"Full",1995,"Draw",2
"bite","Red Card","midfielder","his team penalty area","Uruguay",84,"No Moon",1995,"Win",1
"bite","Suspended for several games","midfielder","his team penalty area","Uruguay",80,"No Moon",1995,"Draw",0
"spit in the face","yellow card","goalkeeper","opponent team penalty area","Uruguay",32,"Half",1995,"Loss",1
"kick in the butt","None","referee","off field","Uruguay",65,"No Moon",1995,"Draw",1
"headbutt","Yellow card","defender","opponent team penalty area","Uruguay",58,"Full",1995,"Loss",0
"headbutt","None","goalkeeper","midfield","Uruguay",38,"Full",1995,"Draw",0
"spit in the face","yellow card","goalkeeper","his team penalty area","Uruguay",35,"No Moon",1995,"Loss",0
"finger in the eye","Red Card","defender","midfield","Uruguay",37,"Half",1995,"Loss",1
"spit in the face","yellow card","spectator","off field","Uruguay",89,"Full",1995,"Draw",1
"none","None","None","No location","Uruguay",90,"Full",1995,"Draw",1
"finger in the eye","Yellow card","forward","midfield","Uruguay",53,"Full",1995,"Loss",1
"spit in the face","yellow card","forward","his team penalty area","Uruguay",86,"Full",1995,"Win",2
"bite","Not Caught","None","off field","Uruguay",74,"Full",1995,"Win",0
"headbutt","Yellow card","referee","off field","Uruguay",60,"Half",1995,"Draw",1
"bite","Red Card","referee","his team penalty area","Uruguay",8,"Full",1995,"Win",1
"spit in the face","yellow card","spectator","off field","Uruguay",51,"No Moon",1995,"Draw",1
"scratch","Yellow card","journalist","off field","Uruguay",52,"Full",1995,"Loss",2
"bite","Yellow card","spectator","off field","Uruguay",89,"Full",1995,"Loss",1
"scratch","Suspended for several games","None","his team penalty area","Uruguay",63,"Half",1995,"Win",3
"none","None","None","No location","Uruguay",90,"Half",1995,"Draw",0
"none","None","None","No location","Uruguay",90,"No Moon",1995,"Win",1
"spit in the face","yellow card","defender","opponent team penalty area","Uruguay",79,"Full",1995,"Win",1
"spit in the face","yellow card","None","midfield","Uruguay",53,"Half",1996,"Loss",1
"kick in the butt","Red Card","defender","off field","Uruguay",43,"No Moon",1996,"Win",1
"none","None","None","No location","Uruguay",90,"Half",1996,"Win",1
"bite","None","forward","midfield","Uruguay",89,"Full",1996,"Loss",0
"bite","None","None","his team penalty area","Uruguay",80,"No Moon",1996,"Draw",1
"bite","Not Caught","journalist","off field","Uruguay",30,"Half",1996,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1996,"Draw",1
"headbutt","Red Card","midfielder","off field","Uruguay",57,"Full",1996,"Loss",0
"bite","Not Caught","journalist","off field","Uruguay",48,"No Moon",1996,"Loss",3
"spit in the face","yellow card","None","his team penalty area","Uruguay",33,"Full",1996,"Draw",1
"none","None","None","No location","Uruguay",90,"Half",1996,"Draw",0
"kick in the butt","Red Card","referee","his team penalty area","Uruguay",48,"Full",1996,"Win",3
"kick in the butt","Red Card","journalist","off field","Uruguay",65,"Half",1996,"Win",1
"none","None","None","No location","Uruguay",90,"Full",1996,"Draw",1
"none","None","None","No location","Uruguay",90,"No Moon",1996,"Draw",2
"spit in the face","yellow card","referee","midfield","Uruguay",81,"No Moon",1996,"Win",2
"kick in the butt","None","None","opponent team penalty area","Uruguay",26,"Full",1996,"Win",1
"none","None","None","No location","Uruguay",90,"No Moon",1996,"Win",2
"bite","Red Card","goalkeeper","opponent team penalty area","Uruguay",81,"Full",1996,"Draw",0
"none","None","None","No location","Uruguay",90,"Half",1996,"Draw",2
"none","None","None","No location","Uruguay",90,"Half",1996,"Win",3
"bite","Suspended for several games","None","opponent team penalty area","Uruguay",84,"Half",1996,"Loss",0
"scratch","None","journalist","off field","Uruguay",72,"No Moon",1996,"Loss",1
"spit in the face","yellow card","midfielder","his team penalty area","Uruguay",62,"No Moon",1996,"Win",0
"bite","Red Card","journalist","off field","Uruguay",74,"Full",1996,"Win",2
"bite","Yellow card","forward","opponent team penalty area","Uruguay",87,"No Moon",1996,"Win",3
"headbutt","Not Caught","journalist","off field","Uruguay",9,"Half",1996,"Draw",2
"kick in the butt","Suspended for several games","goalkeeper","his team penalty area","Uruguay",75,"No Moon",1996,"Win",1
"bite","Red Card","referee","opponent team penalty area","Uruguay",45,"Half",1996,"Win",0
"bite","Suspended for several games","journalist","off field","Uruguay",31,"Full",1996,"Win",1
"spit in the face","yellow card","goalkeeper","off field","Uruguay",81,"No Moon",1996,"Win",1
"headbutt","Not Caught","forward","off field","Uruguay",65,"No Moon",1996,"Loss",1
"kick in the butt","Red Card","midfielder","his team penalty area","Uruguay",87,"Half",1996,"Win",0
"bite","Red Card","referee","his team penalty area","Uruguay",84,"Full",1996,"Draw",2
"bite","None","spectator","off field","Uruguay",81,"No Moon",1996,"Draw",0
"none","None","None","No location","Uruguay",90,"Half",1996,"Win",2
"scratch","Red Card","referee","his team penalty area","Uruguay",65,"Full",1996,"Loss",0
