ID,INCIDENT,PENALTY,VICTIM,LOCATION,COUNTRY,WHEN,MOON_NIGHT_BEFORE,YEAR,RESULT,GOALS
71,not bite,Not Caught,defender,his team penalty area,Uruguay,17,Full,1993,Loss,0
72,not bite,yellow card,spectator,off field,Uruguay,9,No Moon,1993,Win,2
73,bite,Yellow card,goalkeeper,opponent team penalty area,Uruguay,87,No Moon,1993,Loss,2
74,not bite,Suspended for several games,journalist,off field,Uruguay,46,No Moon,1993,Loss,1
75,not bite,Yellow card,goalkeeper,opponent team penalty area,Uruguay,41,No Moon,1993,Draw,1
76,not bite,Red Card,spectator,off field,Uruguay,30,Half,1993,Loss,1
77,not bite,Yellow card,spectator,off field,Uruguay,15,Full,1993,Win,1
78,not bite,yellow card,forward,his team penalty area,Uruguay,21,No Moon,1993,Win,1
79,not bite,Red Card,journalist,off field,Uruguay,62,Half,1993,Loss,2
80,not bite,None,None,No location,Uruguay,90,Half,1993,Loss,0
81,bite,Suspended for several games,midfielder,his team penalty area,Uruguay,64,Half,1993,Win,0
82,not bite,None,None,No location,Uruguay,90,No Moon,1993,Win,1
83,not bite,None,None,No location,Uruguay,90,Half,1993,Loss,1
84,not bite,None,None,No location,Uruguay,90,Full,1993,Draw,2
85,not bite,Yellow card,defender,midfield,Uruguay,19,No Moon,1993,Win,2
86,not bite,None,None,No location,Uruguay,90,Half,1993,Win,2
87,not bite,None,None,No location,Uruguay,90,Half,1993,Draw,2
88,not bite,Yellow card,referee,opponent team penalty area,Uruguay,88,No Moon,1993,Win,0
89,bite,None,None,his team penalty area,Uruguay,20,No Moon,1993,Win,0
90,bite,Suspended for several games,journalist,off field,Uruguay,81,No Moon,1993,Win,2
91,not bite,None,None,No location,Uruguay,90,Half,1993,Loss,1
92,bite,None,referee,opponent team penalty area,Uruguay,20,Half,1993,Win,2
93,not bite,yellow card,journalist,off field,Uruguay,30,Half,1993,Win,3
94,not bite,Red Card,defender,midfield,Uruguay,69,Half,1993,Win,2
95,not bite,None,None,No location,Uruguay,90,No Moon,1993,Win,1
96,not bite,Not Caught,spectator,off field,Uruguay,53,Half,1993,Win,1
97,not bite,Red Card,goalkeeper,his team penalty area,Uruguay,35,Full,1993,Loss,0
98,not bite,yellow card,midfielder,opponent team penalty area,Uruguay,24,Full,1993,Loss,2
99,not bite,Suspended for several games,defender,opponent team penalty area,Uruguay,39,Full,1993,Draw,1
100,not bite,Red Card,forward,his team penalty area,Uruguay,17,No Moon,1993,Win,0
101,bite,Not Caught,None,his team penalty area,Uruguay,2,Half,1993,Loss,2
102,bite,Red Card,defender,his team penalty area,Uruguay,81,Full,1993,Draw,1
103,not bite,Red Card,None,opponent team penalty area,Uruguay,4,Half,1993,Draw,1
104,not bite,Not Caught,midfielder,midfield,Uruguay,55,Full,1993,Draw,0
105,not bite,Red Card,spectator,off field,Uruguay,56,No Moon,1993,Win,1
106,not bite,Yellow card,goalkeeper,midfield,Uruguay,86,Half,1993,Win,2
107,not bite,None,None,No location,Uruguay,90,Full,1993,Draw,1
108,bite,None,None,opponent team penalty area,Uruguay,82,Full,1993,Win,0
109,not bite,Suspended for several games,goalkeeper,his team penalty area,Uruguay,61,Half,1993,Draw,3
110,not bite,Suspended for several games,spectator,off field,Uruguay,19,Full,1993,Draw,2
111,not bite,None,None,No location,Uruguay,90,No Moon,1993,Draw,1
112,not bite,Not Caught,defender,opponent team penalty area,Uruguay,90,Full,1993,Loss,2
113,not bite,Suspended for several games,defender,his team penalty area,Uruguay,1,Full,1993,Win,2
114,not bite,Suspended for several games,defender,off field,Uruguay,71,Full,1993,Loss,2
115,not bite,Yellow card,midfielder,off field,Uruguay,15,No Moon,1993,Draw,1
116,not bite,Yellow card,None,opponent team penalty area,Uruguay,61,Full,1993,Loss,0
117,not bite,Red Card,referee,midfield,Uruguay,0,Half,1993,Draw,3
118,not bite,Suspended for several games,goalkeeper,off field,Uruguay,20,No Moon,1993,Loss,1
119,not bite,yellow card,spectator,off field,Uruguay,75,No Moon,1993,Win,0
120,not bite,yellow card,spectator,off field,Uruguay,44,Half,1993,Loss,1
121,not bite,Yellow card,forward,off field,Uruguay,51,Full,1993,Win,1
122,not bite,Red Card,defender,his team penalty area,Uruguay,71,No Moon,1993,Win,1
123,not bite,Not Caught,defender,off field,Uruguay,7,Half,1993,Loss,0
124,not bite,yellow card,spectator,off field,Uruguay,89,No Moon,1993,Loss,0
125,not bite,Red Card,referee,midfield,Uruguay,24,Full,1993,Loss,4
126,bite,Suspended for several games,defender,opponent team penalty area,Uruguay,44,No Moon,1993,Draw,2
127,bite,Suspended for several games,journalist,off field,Uruguay,86,No Moon,1993,Win,0
128,not bite,None,None,No location,Uruguay,90,No Moon,1993,Draw,1
129,bite,Yellow card,defender,midfield,Uruguay,43,Full,1994,Win,1
130,not bite,Not Caught,spectator,off field,Uruguay,87,No Moon,1994,Win,2
131,not bite,None,midfielder,off field,Uruguay,60,No Moon,1994,Win,1
132,bite,Not Caught,forward,opponent team penalty area,Uruguay,37,Full,1994,Loss,1
133,not bite,yellow card,goalkeeper,midfield,Uruguay,27,No Moon,1994,Draw,0
134,not bite,yellow card,spectator,off field,Uruguay,75,Full,1994,Loss,0
135,not bite,Suspended for several games,referee,opponent team penalty area,Uruguay,66,Full,1994,Win,1
136,bite,Suspended for several games,referee,off field,Uruguay,84,Full,1994,Win,1
137,not bite,Yellow card,goalkeeper,off field,Uruguay,25,Half,1994,Win,1
138,bite,Not Caught,goalkeeper,his team penalty area,Uruguay,75,Full,1994,Win,1
139,bite,Red Card,spectator,off field,Uruguay,80,Half,1994,Draw,1
140,bite,Yellow card,journalist,off field,Uruguay,87,Half,1994,Win,0
141,not bite,Red Card,goalkeeper,his team penalty area,Uruguay,15,Full,1994,Loss,0
142,not bite,yellow card,forward,his team penalty area,Uruguay,59,Half,1994,Draw,1
143,not bite,Red Card,midfielder,off field,Uruguay,2,Half,1994,Win,2
144,not bite,Not Caught,forward,off field,Uruguay,42,No Moon,1994,Loss,1
145,bite,Red Card,None,midfield,Uruguay,33,Full,1994,Draw,2
146,not bite,None,None,No location,Uruguay,90,Half,1994,Win,0
147,bite,Suspended for several games,forward,opponent team penalty area,Uruguay,84,Half,1994,Draw,0
148,not bite,Red Card,midfielder,his team penalty area,Uruguay,83,Half,1994,Loss,1
149,not bite,None,None,No location,Uruguay,90,Half,1994,Win,1
150,not bite,None,defender,his team penalty area,Uruguay,20,Full,1994,Win,2
151,not bite,Red Card,spectator,off field,Uruguay,84,Half,1994,Loss,0
152,not bite,yellow card,forward,his team penalty area,Uruguay,1,Full,1994,Win,3
153,not bite,None,None,No location,Uruguay,90,No Moon,1994,Loss,0
154,bite,Red Card,spectator,off field,Uruguay,82,No Moon,1994,Draw,0
155,not bite,Suspended for several games,spectator,off field,Uruguay,71,No Moon,1994,Win,0
156,not bite,None,None,No location,Uruguay,90,Half,1994,Win,2
157,not bite,yellow card,defender,off field,Uruguay,43,Half,1994,Win,0
158,bite,Suspended for several games,midfielder,his team penalty area,Uruguay,88,Full,1994,Loss,0
159,not bite,yellow card,defender,his team penalty area,Uruguay,57,Full,1994,Win,0
160,not bite,Red Card,goalkeeper,opponent team penalty area,Uruguay,24,Full,1994,Loss,0
161,not bite,None,goalkeeper,opponent team penalty area,Uruguay,56,No Moon,1994,Loss,2
162,bite,Suspended for several games,spectator,off field,Uruguay,32,No Moon,1994,Draw,1
163,not bite,None,None,No location,Uruguay,90,Half,1994,Loss,0
164,not bite,None,None,No location,Uruguay,90,Half,1994,Win,1
165,not bite,Red Card,referee,off field,Uruguay,16,Full,1994,Win,2
166,not bite,None,None,No location,Uruguay,90,Full,1994,Win,1
167,bite,Yellow card,spectator,off field,Uruguay,89,Full,1994,Win,0
168,not bite,None,None,No location,Uruguay,90,Half,1994,Draw,1
169,not bite,None,None,No location,Uruguay,90,Full,1994,Loss,2
170,bite,Not Caught,forward,opponent team penalty area,Uruguay,81,Full,1994,Loss,0
171,bite,Not Caught,journalist,off field,Uruguay,81,No Moon,1994,Win,1
172,not bite,Yellow card,forward,off field,Uruguay,88,No Moon,1994,Draw,2
173,not bite,None,None,No location,Uruguay,90,Full,1994,Loss,1
174,not bite,Not Caught,referee,opponent team penalty area,Uruguay,46,Full,1994,Loss,0
175,not bite,Not Caught,midfielder,his team penalty area,Uruguay,29,No Moon,1994,Win,0
176,not bite,Yellow card,referee,his team penalty area,Uruguay,1,No Moon,1994,Draw,2
177,not bite,yellow card,referee,his team penalty area,Uruguay,6,No Moon,1994,Win,0
178,not bite,Yellow card,defender,off field,Uruguay,11,Half,1994,Draw,0
179,not bite,yellow card,midfielder,his team penalty area,Uruguay,76,Full,1994,Draw,2
180,bite,Red Card,goalkeeper,off field,Uruguay,90,Full,1994,Loss,0
181,not bite,yellow card,referee,midfield,Uruguay,83,No Moon,1994,Win,1
182,not bite,Yellow card,journalist,off field,Uruguay,41,Full,1994,Win,0
183,not bite,yellow card,goalkeeper,opponent team penalty area,Uruguay,30,Full,1994,Win,1
184,not bite,Not Caught,referee,midfield,Uruguay,77,No Moon,1994,Draw,1
185,not bite,None,None,No location,Uruguay,90,Half,1994,Win,1
186,not bite,Suspended for several games,defender,his team penalty area,Uruguay,1,Half,1994,Win,2
187,not bite,None,spectator,off field,Uruguay,75,No Moon,1994,Win,0
188,bite,Red Card,journalist,off field,Uruguay,65,Full,1994,Loss,2
189,not bite,yellow card,None,opponent team penalty area,Uruguay,27,Full,1994,Win,2
190,not bite,yellow card,goalkeeper,his team penalty area,Uruguay,55,Full,1994,Draw,1
191,not bite,Suspended for several games,midfielder,his team penalty area,Uruguay,82,Full,1994,Loss,1
192,not bite,None,None,No location,Uruguay,90,Full,1994,Win,2
193,not bite,Not Caught,journalist,off field,Uruguay,21,Half,1994,Draw,0
194,not bite,Yellow card,forward,opponent team penalty area,Uruguay,3,Half,1994,Win,2
195,not bite,None,None,No location,Uruguay,90,Full,1994,Draw,1
196,not bite,None,None,No location,Uruguay,90,Half,1994,Win,3
197,bite,Red Card,forward,opponent team penalty area,Uruguay,88,Full,1994,Win,1
198,not bite,Red Card,midfielder,opponent team penalty area,Uruguay,6,No Moon,1994,Draw,0
199,not bite,Red Card,midfielder,his team penalty area,Uruguay,88,No Moon,1994,Win,0
200,not bite,yellow card,spectator,off field,Uruguay,35,Half,1994,Loss,3
201,bite,Red Card,None,opponent team penalty area,Uruguay,86,Full,1994,Draw,0
202,bite,Red Card,forward,off field,Uruguay,83,Full,1994,Loss,1
203,not bite,yellow card,None,off field,Uruguay,23,No Moon,1994,Win,2
204,not bite,Not Caught,goalkeeper,opponent team penalty area,Uruguay,86,Full,1994,Win,1
205,not bite,Not Caught,forward,off field,Uruguay,4,Full,1994,Draw,3
206,not bite,Suspended for several games,defender,opponent team penalty area,Uruguay,29,Half,1994,Win,2
207,bite,Red Card,journalist,off field,Uruguay,83,Half,1994,Draw,1
208,not bite,None,None,No location,Uruguay,90,Full,1994,Loss,0
209,not bite,yellow card,forward,off field,Uruguay,89,Half,1994,Draw,0
210,not bite,yellow card,spectator,off field,Uruguay,27,Half,1994,Loss,1
211,not bite,Suspended for several games,referee,midfield,Uruguay,12,No Moon,1994,Draw,1
212,not bite,Yellow card,None,his team penalty area,Uruguay,18,No Moon,1994,Draw,1
213,not bite,Not Caught,goalkeeper,midfield,Uruguay,62,No Moon,1994,Win,0
214,not bite,yellow card,forward,opponent team penalty area,Uruguay,68,No Moon,1994,Win,0
215,not bite,Not Caught,forward,off field,Uruguay,75,No Moon,1995,Draw,0
216,not bite,Red Card,defender,opponent team penalty area,Uruguay,42,Full,1995,Loss,1
217,bite,Suspended for several games,goalkeeper,his team penalty area,Uruguay,86,No Moon,1995,Win,0
218,not bite,Yellow card,journalist,off field,Uruguay,60,Half,1995,Loss,0
219,not bite,Yellow card,spectator,off field,Uruguay,3,No Moon,1995,Win,0
220,not bite,yellow card,defender,midfield,Uruguay,34,Full,1995,Win,0
221,bite,Not Caught,referee,off field,Uruguay,12,Full,1995,Loss,2
222,bite,Suspended for several games,journalist,off field,Uruguay,41,Half,1995,Win,0
223,not bite,Yellow card,spectator,off field,Uruguay,20,Full,1995,Win,1
224,not bite,Yellow card,None,off field,Uruguay,24,Half,1995,Draw,0
225,not bite,Yellow card,defender,opponent team penalty area,Uruguay,11,Full,1995,Draw,1
226,not bite,Yellow card,referee,off field,Uruguay,57,No Moon,1995,Loss,0
227,bite,Yellow card,spectator,off field,Uruguay,86,No Moon,1995,Draw,3
228,not bite,Suspended for several games,defender,his team penalty area,Uruguay,46,Half,1995,Win,2
229,not bite,None,None,No location,Uruguay,90,No Moon,1995,Win,0
230,not bite,yellow card,forward,opponent team penalty area,Uruguay,47,Half,1995,Win,0
231,not bite,Red Card,None,his team penalty area,Uruguay,72,Full,1995,Loss,1
232,not bite,None,forward,midfield,Uruguay,82,Full,1995,Draw,3
233,not bite,None,None,No location,Uruguay,90,No Moon,1995,Win,1
234,not bite,Yellow card,forward,off field,Uruguay,44,Half,1995,Loss,2
235,not bite,yellow card,midfielder,opponent team penalty area,Uruguay,10,Full,1995,Win,0
236,not bite,Suspended for several games,forward,midfield,Uruguay,72,Full,1995,Loss,2
237,not bite,yellow card,defender,opponent team penalty area,Uruguay,87,Full,1995,Draw,0
238,bite,Yellow card,defender,off field,Uruguay,69,No Moon,1995,Win,3
239,not bite,None,None,No location,Uruguay,90,Half,1995,Draw,1
240,not bite,Not Caught,midfielder,off field,Uruguay,65,No Moon,1995,Loss,2
241,bite,Yellow card,spectator,off field,Uruguay,83,Half,1995,Win,2
242,not bite,Not Caught,referee,his team penalty area,Uruguay,76,Half,1995,Loss,0
243,not bite,None,None,opponent team penalty area,Uruguay,72,Half,1995,Draw,0
244,not bite,Red Card,referee,his team penalty area,Uruguay,53,Full,1995,Loss,0
245,bite,Yellow card,forward,his team penalty area,Uruguay,49,Half,1995,Loss,1
246,not bite,Yellow card,defender,his team penalty area,Uruguay,52,Full,1995,Loss,2
247,bite,Suspended for several games,midfielder,off field,Uruguay,40,Half,1995,Loss,0
248,not bite,None,None,No location,Uruguay,90,No Moon,1995,Draw,1
249,not bite,None,journalist,off field,Uruguay,62,Half,1995,Win,1
250,not bite,Yellow card,defender,opponent team penalty area,Uruguay,52,Full,1995,Loss,1
251,not bite,None,None,No location,Uruguay,90,Half,1995,Loss,1
252,not bite,Red Card,journalist,off field,Uruguay,90,No Moon,1995,Loss,1
253,not bite,Suspended for several games,None,off field,Uruguay,26,Half,1995,Win,2
254,bite,Not Caught,midfielder,off field,Uruguay,85,No Moon,1995,Loss,1
255,not bite,None,None,No location,Uruguay,90,No Moon,1995,Win,1
256,not bite,None,None,No location,Uruguay,90,Full,1995,Loss,1
257,not bite,Not Caught,journalist,off field,Uruguay,11,No Moon,1995,Win,2
258,not bite,yellow card,spectator,off field,Uruguay,11,Full,1995,Loss,3
259,bite,Not Caught,forward,midfield,Uruguay,4,No Moon,1995,Win,2
260,not bite,Red Card,spectator,off field,Uruguay,14,No Moon,1995,Win,2
261,not bite,Yellow card,forward,his team penalty area,Uruguay,19,Full,1995,Draw,1
262,bite,Not Caught,spectator,off field,Uruguay,62,Full,1995,Win,2
263,bite,None,referee,his team penalty area,Uruguay,9,No Moon,1995,Draw,2
264,not bite,yellow card,forward,midfield,Uruguay,7,No Moon,1995,Loss,0
265,not bite,None,None,No location,Uruguay,90,No Moon,1995,Win,1
266,not bite,None,None,No location,Uruguay,90,No Moon,1995,Win,0
267,not bite,None,None,No location,Uruguay,90,Half,1995,Loss,1
268,not bite,None,None,No location,Uruguay,90,Half,1995,Win,1
269,not bite,Not Caught,spectator,off field,Uruguay,32,Half,1995,Loss,2
270,not bite,None,None,No location,Uruguay,90,Half,1995,Loss,1
271,not bite,Yellow card,forward,his team penalty area,Uruguay,60,Half,1995,Win,1
272,bite,None,journalist,off field,Uruguay,19,Half,1995,Loss,0
273,not bite,Yellow card,journalist,off field,Uruguay,69,No Moon,1995,Win,3
274,not bite,None,None,No location,Uruguay,90,Full,1995,Win,3
275,not bite,Yellow card,referee,midfield,Uruguay,26,No Moon,1995,Win,2
276,bite,Yellow card,defender,midfield,Uruguay,60,No Moon,1995,Win,2
277,bite,Not Caught,defender,opponent team penalty area,Uruguay,86,No Moon,1995,Win,1
278,not bite,Yellow card,forward,opponent team penalty area,Uruguay,82,Half,1995,Win,0
279,not bite,None,None,No location,Uruguay,90,Half,1995,Draw,2
280,bite,None,midfielder,midfield,Uruguay,89,Half,1995,Win,2
281,not bite,Red Card,midfielder,opponent team penalty area,Uruguay,37,No Moon,1995,Draw,0
282,not bite,None,None,No location,Uruguay,90,Full,1995,Loss,3
283,not bite,None,None,No location,Uruguay,90,Full,1995,Draw,2
284,bite,Red Card,midfielder,his team penalty area,Uruguay,84,No Moon,1995,Win,1
285,bite,Suspended for several games,midfielder,his team penalty area,Uruguay,80,No Moon,1995,Draw,0
286,not bite,yellow card,goalkeeper,opponent team penalty area,Uruguay,32,Half,1995,Loss,1
287,not bite,None,referee,off field,Uruguay,65,No Moon,1995,Draw,1
288,not bite,Yellow card,defender,opponent team penalty area,Uruguay,58,Full,1995,Loss,0
289,not bite,None,goalkeeper,midfield,Uruguay,38,Full,1995,Draw,0
290,not bite,yellow card,goalkeeper,his team penalty area,Uruguay,35,No Moon,1995,Loss,0
291,not bite,Red Card,defender,midfield,Uruguay,37,Half,1995,Loss,1
292,not bite,yellow card,spectator,off field,Uruguay,89,Full,1995,Draw,1
293,not bite,None,None,No location,Uruguay,90,Full,1995,Draw,1
294,not bite,Yellow card,forward,midfield,Uruguay,53,Full,1995,Loss,1
295,not bite,yellow card,forward,his team penalty area,Uruguay,86,Full,1995,Win,2
296,bite,Not Caught,None,off field,Uruguay,74,Full,1995,Win,0
297,not bite,Yellow card,referee,off field,Uruguay,60,Half,1995,Draw,1
298,bite,Red Card,referee,his team penalty area,Uruguay,8,Full,1995,Win,1
299,not bite,yellow card,spectator,off field,Uruguay,51,No Moon,1995,Draw,1
300,not bite,Yellow card,journalist,off field,Uruguay,52,Full,1995,Loss,2
301,bite,Yellow card,spectator,off field,Uruguay,89,Full,1995,Loss,1
302,not bite,Suspended for several games,None,his team penalty area,Uruguay,63,Half,1995,Win,3
303,not bite,None,None,No location,Uruguay,90,Half,1995,Draw,0
304,not bite,None,None,No location,Uruguay,90,No Moon,1995,Win,1
305,not bite,yellow card,defender,opponent team penalty area,Uruguay,79,Full,1995,Win,1
306,not bite,yellow card,None,midfield,Uruguay,53,Half,1996,Loss,1
307,not bite,Red Card,defender,off field,Uruguay,43,No Moon,1996,Win,1
308,not bite,None,None,No location,Uruguay,90,Half,1996,Win,1
309,bite,None,forward,midfield,Uruguay,89,Full,1996,Loss,0
310,bite,None,None,his team penalty area,Uruguay,80,No Moon,1996,Draw,1
311,bite,Not Caught,journalist,off field,Uruguay,30,Half,1996,Win,0
312,not bite,None,None,No location,Uruguay,90,Full,1996,Draw,1
313,not bite,Red Card,midfielder,off field,Uruguay,57,Full,1996,Loss,0
314,bite,Not Caught,journalist,off field,Uruguay,48,No Moon,1996,Loss,3
315,not bite,yellow card,None,his team penalty area,Uruguay,33,Full,1996,Draw,1
316,not bite,None,None,No location,Uruguay,90,Half,1996,Draw,0
317,not bite,Red Card,referee,his team penalty area,Uruguay,48,Full,1996,Win,3
318,not bite,Red Card,journalist,off field,Uruguay,65,Half,1996,Win,1
319,not bite,None,None,No location,Uruguay,90,Full,1996,Draw,1
320,not bite,None,None,No location,Uruguay,90,No Moon,1996,Draw,2
321,not bite,yellow card,referee,midfield,Uruguay,81,No Moon,1996,Win,2
322,not bite,None,None,opponent team penalty area,Uruguay,26,Full,1996,Win,1
323,not bite,None,None,No location,Uruguay,90,No Moon,1996,Win,2
324,bite,Red Card,goalkeeper,opponent team penalty area,Uruguay,81,Full,1996,Draw,0
325,not bite,None,None,No location,Uruguay,90,Half,1996,Draw,2
326,not bite,None,None,No location,Uruguay,90,Half,1996,Win,3
327,bite,Suspended for several games,None,opponent team penalty area,Uruguay,84,Half,1996,Loss,0
328,not bite,None,journalist,off field,Uruguay,72,No Moon,1996,Loss,1
329,not bite,yellow card,midfielder,his team penalty area,Uruguay,62,No Moon,1996,Win,0
330,bite,Red Card,journalist,off field,Uruguay,74,Full,1996,Win,2
331,bite,Yellow card,forward,opponent team penalty area,Uruguay,87,No Moon,1996,Win,3
332,not bite,Not Caught,journalist,off field,Uruguay,9,Half,1996,Draw,2
333,not bite,Suspended for several games,goalkeeper,his team penalty area,Uruguay,75,No Moon,1996,Win,1
334,bite,Red Card,referee,opponent team penalty area,Uruguay,45,Half,1996,Win,0
335,bite,Suspended for several games,journalist,off field,Uruguay,31,Full,1996,Win,1
336,not bite,yellow card,goalkeeper,off field,Uruguay,81,No Moon,1996,Win,1
337,not bite,Not Caught,forward,off field,Uruguay,65,No Moon,1996,Loss,1
338,not bite,Red Card,midfielder,his team penalty area,Uruguay,87,Half,1996,Win,0
339,bite,Red Card,referee,his team penalty area,Uruguay,84,Full,1996,Draw,2
340,bite,None,spectator,off field,Uruguay,81,No Moon,1996,Draw,0
341,not bite,None,None,No location,Uruguay,90,Half,1996,Win,2
342,not bite,Red Card,referee,his team penalty area,Uruguay,65,Full,1996,Loss,0
343,not bite,Suspended for several games,forward,his team penalty area,Uruguay,16,Full,1996,Loss,0
344,not bite,yellow card,spectator,off field,Uruguay,87,Full,1996,Win,1
345,not bite,Suspended for several games,journalist,off field,Uruguay,73,Full,1996,Win,0
346,not bite,Yellow card,None,opponent team penalty area,Uruguay,75,No Moon,1996,Loss,2
347,not bite,Red Card,forward,midfield,Uruguay,55,Full,1996,Loss,1
348,bite,Not Caught,forward,off field,Uruguay,5,No Moon,1996,Loss,0
349,not bite,Red Card,journalist,off field,Uruguay,74,Full,1996,Win,1
350,not bite,Yellow card,forward,midfield,Uruguay,50,Full,1996,Win,1
351,not bite,Red Card,goalkeeper,opponent team penalty area,Uruguay,37,No Moon,1996,Win,1
352,not bite,None,None,No location,Uruguay,90,Half,1996,Win,1
353,not bite,None,None,No location,Uruguay,90,No Moon,1996,Win,0
354,not bite,None,None,No location,Uruguay,90,No Moon,1996,Win,0
355,not bite,None,None,No location,Uruguay,90,Half,1996,Draw,0
