IDN,AGE,COUNTRY,GENDER,IMMIGRANT,HAPPINESS
40333,73,Trinidad and Tobago,Male,0,5.28
41866,24,Sudan,Female,0,6.03
14858,43,South Africa,Male,0,5.33
95570,47,Malta,Male,1,7.17
96027,89,Malta,Female,1,7.47
88855,40,Ukraine,Female,0,4.91
77469,58,Pakistan,Male,1,6.47
88559,56,Cyprus,Female,0,7.24
44588,67,Georgia,Female,0,5.76
75546,76,South Africa,Female,0,6.84
69676,80,Ukraine,Female,0,3.92
90245,33,Mauritania,Male,0,5.44
42639,35,Kyrgyzstan,Male,0,5.43
81663,85,Honduras,Male,0,6.60
27703,49,Cambodia,Male,0,3.79
88677,62,Poland,Female,0,6.26
78356,72,Oman,Male,1,8.35
21761,73,Myanmar,Female,0,5.44
85653,48,India,Male,1,5.96
76428,75,Guatemala,Female,0,6.70
28997,45,Kyrgyzstan,Female,0,5.49
25932,46,Portugal,Female,0,6.63
32853,42,Italy,Male,0,6.34
79593,53,Slovakia,Male,0,7.04
82287,83,Yemen,Female,0,5.56
70226,48,Bahrain,Female,0,5.61
10831,60,Turkmenistan,Female,0,5.92
32645,30,Canada,Female,1,9.13
32901,80,Oman,Female,0,8.27
39507,40,France,Female,0,5.20
52224,50,Poland,Female,0,5.92
15981,43,New Zealand,Female,0,6.75
43793,59,Kuwait,Male,0,5.05
66772,49,Comoros,Male,0,5.10
23305,58,Belarus,Male,0,6.55
30003,82,Sweden,Female,1,6.74
70819,76,Bolivia,Female,0,5.04
69586,50,Yemen,Male,0,4.60
42951,37,Morocco,Male,0,4.29
71616,85,Senegal,Female,0,3.83
93363,40,Bosnia and Herzegovina,Female,0,5.67
83142,40,Libya,Female,0,4.39
61030,41,Mauritius,Male,0,5.76
85945,55,Laos,Female,0,4.55
50540,72,Bangladesh,Male,0,4.47
97604,30,Taiwan,Female,0,4.31
22497,72,Georgia,Male,0,5.45
89599,74,Sweden,Female,0,6.70
89595,44,Nepal,Male,0,5.56
67472,54,Morocco,Male,0,6.06
28455,26,New Zealand,Female,1,6.55
94057,85,Denmark,Male,0,6.93
87385,79,Kosovo,Male,0,6.08
82653,35,Thailand,Female,0,6.51
84999,82,Tanzania,Male,0,3.97
14674,85,Belarus,Male,0,5.81
75289,24,Trinidad and Tobago,Male,1,6.13
92868,42,Sierra Leone,Male,0,4.47
15690,54,Tanzania,Female,0,3.54
58454,37,Netherlands,Female,1,10.61
95456,71,Haiti,Male,0,4.89
30011,57,Zambia,Male,0,5.27
98119,47,Bahrain,Female,0,6.50
67510,40,Dominican Republic,Female,0,3.17
18744,88,Chile,Male,0,8.66
72413,40,Russia,Male,0,5.60
81216,86,Ghana,Male,0,3.87
87963,88,Belarus,Male,0,6.02
54202,40,Russia,Male,1,6.55
24375,44,Hong Kong,Male,0,5.46
30491,59,Cambodia,Male,0,5.06
88273,39,Ghana,Female,0,4.30
59115,37,Ghana,Male,0,6.61
67419,49,Libya,Male,0,6.36
30492,70,Cameroon,Male,0,4.28
62023,50,Gabon,Male,0,4.95
18210,79,Switzerland,Male,0,7.55
27515,52,Georgia,Male,0,5.56
38669,43,Yemen,Female,0,5.39
90109,73,Tajikistan,Male,0,5.72
87662,66,Philippines,Male,0,6.95
10128,72,Iran,Male,0,6.01
37371,77,Tajikistan,Male,0,5.86
21771,71,Lesotho,Female,0,4.44
23145,37,Switzerland,Female,0,8.84
35887,45,Taiwan,Male,0,5.79
32052,41,Venezuela,Male,0,8.75
62435,74,Kuwait,Female,0,7.92
54309,82,Iran,Male,0,5.26
77785,73,Laos,Male,0,3.32
17086,60,South Africa,Female,0,4.17
71741,30,Belarus,Female,0,4.61
94644,44,Guatemala,Male,0,6.39
94281,55,Nigeria,Male,0,5.17
91856,81,Montenegro,Female,0,5.48
67082,34,Hong Kong,Male,1,4.19
19444,66,Colombia,Female,0,6.43
65063,38,Mauritania,Female,0,6.59
53000,32,Niger,Male,0,5.80
79181,70,Mali,Male,0,4.29
94579,33,Honduras,Male,0,6.31
41446,86,France,Female,1,8.50
45698,25,Austria,Female,1,7.80
39826,45,Portugal,Female,0,5.31
47831,60,Sudan,Female,0,4.57
32365,47,Nigeria,Male,0,4.78
28166,66,Malta,Male,0,6.63
58880,40,Chile,Female,0,7.64
77506,66,Paraguay,Male,1,6.69
38150,82,Uzbekistan,Female,0,5.23
85164,44,Syria,Male,0,3.22
15058,40,Brazil,Male,0,5.15
71726,50,Kosovo,Male,0,5.78
74901,48,Australia,Male,1,6.95
14510,38,Bolivia,Male,0,6.36
15623,89,Denmark,Male,0,9.04
90811,46,Lithuania,Female,0,4.67
15288,89,Azerbaijan,Male,0,4.67
12995,23,Madagascar,Male,0,6.07
95117,74,Panama,Male,0,6.61
36919,42,Montenegro,Female,0,5.83
48851,47,Uruguay,Female,1,6.24
54511,80,Thailand,Male,0,6.72
50980,37,Kosovo,Female,0,5.21
10403,78,Moldova,Female,0,5.17
48283,70,Suriname,Male,1,7.10
14530,50,Qatar,Male,0,7.14
18322,54,Central African Republic,Female,0,4.11
85475,70,Belarus,Female,0,4.72
27547,76,Guinea,Male,0,4.85
78611,51,Mauritius,Female,0,7.16
30095,61,Singapore,Female,0,6.83
66106,54,South Korea,Male,0,8.32
19227,44,Chile,Female,0,6.32
84847,77,Congo-Brazzaville,Male,0,2.75
78294,30,Mauritius,Male,0,6.31
91674,72,Haiti,Male,0,4.30
31907,74,Mexico,Female,0,7.91
41269,85,Costa Rica,Male,0,7.77
52311,40,Djibouti,Female,0,5.67
26733,67,Taiwan,Female,0,8.46
16924,30,Finland,Male,0,8.17
36326,80,Uzbekistan,Female,0,6.63
82045,57,India,Male,0,6.37
89926,68,Iraq,Male,0,3.24
40116,86,Tanzania,Male,0,4.46
18368,37,Ethiopia,Male,0,5.30
36729,61,Sweden,Male,0,7.90
99814,44,Estonia,Female,0,6.34
83186,54,Madagascar,Female,0,5.01
63859,28,Colombia,Female,0,7.64
35945,29,Luxembourg,Female,0,7.36
75088,48,Armenia,Male,0,4.70
31440,38,Tunisia,Female,0,5.38
24406,39,Burkina Faso,Female,0,3.78
27539,78,Somaliland region,Female,0,5.39
41860,23,Comoros,Female,0,3.63
39750,39,Swaziland,Male,0,6.30
46823,30,Slovakia,Male,0,5.07
68693,88,Nicaragua,Female,1,6.27
52439,23,Canada,Female,0,8.91
58817,33,Sweden,Male,0,8.72
36761,70,Peru,Male,0,7.60
83319,84,Uruguay,Female,0,7.84
81914,80,Qatar,Male,0,6.42
42987,64,Serbia,Male,0,4.20
74573,62,Malaysia,Female,0,5.51
29332,67,Benin,Male,0,5.38
52707,65,Vietnam,Male,0,7.65
73113,42,El Salvador,Female,0,5.68
11646,59,Poland,Male,0,5.53
30817,25,Uzbekistan,Female,0,4.66
23730,83,Cameroon,Male,0,2.82
86687,38,Canada,Male,0,5.98
84529,46,Switzerland,Female,0,9.92
76249,38,Senegal,Male,0,4.37
36050,72,Netherlands,Male,0,8.87
55292,82,Trinidad and Tobago,Male,0,5.11
25466,59,Mauritius,Male,0,7.13
33162,41,Panama,Male,0,9.57
67693,24,Algeria,Female,0,5.78
45820,38,Qatar,Male,0,7.71
90576,44,Ethiopia,Male,0,4.92
23830,45,Syria,Male,0,4.33
18640,42,Uruguay,Male,0,6.11
32502,42,Palestinian Territories,Female,1,4.82
36155,53,Yemen,Female,0,4.23
83397,40,India,Female,1,4.02
40399,34,Angola,Male,0,6.85
26245,87,Burkina Faso,Male,0,3.18
53440,68,Burkina Faso,Male,0,3.49
84464,48,Philippines,Male,0,5.32
44147,44,Botswana,Female,0,3.12
45014,82,Peru,Male,1,5.13
59849,49,Ukraine,Female,1,5.24
79465,75,Afghanistan,Male,0,5.45
62587,32,Slovakia,Male,0,6.26
97764,73,Chile,Male,0,5.77
58941,60,Libya,Female,0,4.55
74839,65,Argentina,Female,0,7.20
82603,86,Saudi Arabia,Female,0,5.39
18668,31,Paraguay,Female,0,5.64
34966,25,Turkey,Female,0,7.46
67684,72,Italy,Female,0,6.11
46994,44,Belarus,Female,0,5.20
53196,42,Italy,Male,0,5.34
71999,61,Mongolia,Female,0,4.48
40288,77,Benin,Female,0,2.46
29832,43,Vietnam,Male,0,4.19
48405,26,Libya,Male,0,4.33
38824,45,Hungary,Female,0,4.77
71793,41,Italy,Female,0,6.48
51352,74,United Kingdom,Female,1,9.55
35487,33,Chile,Female,0,6.41
32821,89,Hong Kong,Male,0,6.14
36828,50,Slovenia,Female,1,7.06
13958,78,Congo-Brazzaville,Male,0,5.80
87898,63,Indonesia,Female,1,7.81
90594,31,Belarus,Female,0,4.98
38324,26,Taiwan,Male,0,6.47
22242,48,India,Male,0,5.10
46089,44,Nepal,Female,0,5.24
81373,41,Azerbaijan,Male,0,3.20
32938,54,Guinea,Male,0,5.68
82008,41,Luxembourg,Female,0,6.14
81874,81,Rwand2a4,Male,0,3.71
95260,44,South Korea,Female,0,6.36
70164,33,Chile,Female,0,7.92
36174,54,Angola,Female,0,5.90
14918,65,Zambia,Male,0,6.35
93189,25,France,Female,0,4.97
12020,42,Honduras,Male,1,6.59
28209,41,Hong Kong,Female,0,4.73
65226,76,Germany,Female,0,5.35
81568,32,Panama,Female,0,9.69
36852,40,Sri Lanka,Male,0,5.44
41972,50,Nicaragua,Male,0,7.75
66999,41,Turkmenistan,Female,0,6.26
27506,84,Serbia,Male,0,4.61
83450,27,Indonesia,Male,0,4.09
79764,41,Lithuania,Male,0,6.27
78552,44,El Salvador,Male,0,4.47
68202,43,India,Female,0,3.75
68979,75,United States,Male,0,7.83
73913,71,Thailand,Female,1,8.90
81494,41,Uruguay,Female,0,6.58
88132,85,India,Male,0,5.91
62223,29,Uganda,Male,0,5.06
89518,56,Luxembourg,Male,0,7.59
57109,27,Chad,Female,0,5.34
67965,69,Serbia,Male,0,5.21
82182,49,Tanzania,Female,0,3.33
26328,40,Mauritius,Female,0,6.74
56013,29,Italy,Male,0,4.57
66200,86,Comoros,Female,0,5.51
91466,49,Botswana,Female,0,5.47
82570,45,Israel,Male,0,9.20
63935,73,Chile,Female,0,7.26
96142,35,Netherlands,Female,0,8.04
51544,36,Ghana,Male,0,3.45
22250,67,Philippines,Female,1,5.86
83294,32,Hungary,Female,0,4.54
26854,81,Bolivia,Male,0,8.33
60256,55,Togo,Female,0,2.40
14197,36,Switzerland,Female,0,6.25
16118,60,Honduras,Female,0,3.66
36578,48,Burundi,Male,0,2.71
46306,54,United Arab Emirates,Male,1,9.40
89142,49,Uzbekistan,Female,0,5.61
27828,32,Mongolia,Female,0,6.64
65982,47,Bangladesh,Female,0,5.72
89917,35,Malaysia,Female,0,6.75
86867,73,China,Male,0,5.69
98618,61,South Korea,Male,1,7.91
89951,52,Albania,Male,0,4.82
24634,70,Dominican Republic,Female,0,4.30
19993,25,Colombia,Female,0,6.02
94421,34,Senegal,Female,0,4.70
79509,40,Togo,Male,0,4.22
80919,57,France,Female,0,6.16
86839,23,Croatia,Female,0,7.38
44255,47,Germany,Female,0,6.18
76672,43,United States,Male,0,6.43
18530,41,Syria,Female,0,5.25
13743,54,Egypt,Female,0,4.33
19919,82,Honduras,Female,0,5.99
55743,41,Oman,Male,1,6.06
20795,74,Guatemala,Female,0,6.52
91715,67,Slovenia,Female,1,7.38
78853,28,Cyprus,Male,0,8.41
36977,60,Germany,Male,0,6.45
53009,62,Congo-Brazzaville,Female,0,4.38
78349,83,Turkey,Female,0,5.08
47728,61,Burundi,Male,0,3.97
41399,70,Burundi,Male,0,4.85
54264,35,Lithuania,Female,0,5.67
63224,85,Guinea,Male,0,3.72
52955,36,Malta,Male,0,7.21
51594,51,Burundi,Male,0,4.10
83561,42,Haiti,Male,0,4.24
37490,54,Spain,Male,0,8.20
29126,33,Uzbekistan,Male,0,5.43
29392,67,United Kingdom,Male,0,5.66
80116,82,Oman,Female,0,7.45
25139,38,Belgium,Male,0,7.11
82590,48,Moldova,Male,0,7.42
97073,43,Laos,Male,1,6.61
54486,74,Saudi Arabia,Male,1,8.75
51318,40,Myanmar,Male,0,3.90
92734,29,Sri Lanka,Male,0,6.51
17870,35,Morocco,Female,0,3.70
16592,75,Chile,Male,0,8.13
32800,73,Bahrain,Male,1,6.35
56592,41,Ecuador,Male,0,5.77
78293,76,Australia,Male,0,6.59
51209,41,Taiwan,Male,1,5.80
35237,65,Taiwan,Male,0,5.99
42458,31,France,Male,0,8.08
24217,50,Netherlands,Male,0,6.92
21987,47,Benin,Female,0,3.35
23079,42,Gabon,Female,0,4.30
84297,23,Indonesia,Female,0,4.80
12691,84,Chile,Female,0,7.90
99868,38,Paraguay,Male,0,6.26
12233,29,Dominican Republic,Male,0,7.56
47560,31,Kuwait,Female,0,6.61
47591,65,Zimbabwe,Male,0,6.09
46125,38,Guatemala,Female,1,7.55
90373,24,Iraq,Male,0,3.31
28165,47,North Cyprus,Male,0,5.08
13310,51,Zimbabwe,Female,0,3.64
18041,36,Kuwait,Female,1,6.44
33767,46,Bolivia,Male,0,6.82
62174,43,Mauritius,Female,0,7.41
89427,34,Suriname,Female,0,6.20
58755,74,Nicaragua,Male,0,5.76
38718,41,Chad,Male,0,4.08
89626,68,Kenya,Male,0,4.35
99383,26,Qatar,Male,0,8.28
68610,60,Ecuador,Female,0,5.18
77060,34,Nigeria,Female,0,5.60
84483,71,Djibouti,Male,0,5.28
32912,48,Ghana,Female,1,5.62
52189,67,United Arab Emirates,Female,1,7.14
13338,76,Taiwan,Male,0,5.83
43457,37,Cambodia,Female,0,5.61
11413,68,Canada,Female,0,6.53
91068,42,Ecuador,Female,0,6.89
80414,50,Poland,Male,0,5.76
81612,85,Latvia,Male,0,6.65
63869,28,Albania,Male,0,4.89
32127,79,Vietnam,Male,0,4.43
41120,89,Libya,Female,0,3.34
13567,73,Burundi,Female,0,3.53
45512,50,Belgium,Female,0,6.69
64236,40,North Cyprus,Female,0,6.86
52895,60,Mexico,Male,1,6.46
72812,71,Mali,Male,0,6.49
78993,68,Hungary,Female,1,5.05
48560,41,Honduras,Male,0,6.64
10239,50,Slovenia,Female,1,7.50
73824,80,Paraguay,Female,0,4.22
39419,78,Venezuela,Female,0,8.55
89631,27,Egypt,Male,0,5.39
85067,25,Portugal,Female,0,3.80
43205,41,Libya,Female,1,7.24
39412,70,Australia,Male,1,7.07
12266,48,United Kingdom,Male,0,7.16
95381,48,Denmark,Female,0,9.47
49727,40,Algeria,Female,1,6.89
79363,47,Swaziland,Female,0,4.70
41435,87,Norway,Male,0,7.11
96689,46,Sierra Leone,Male,1,5.33
96534,44,Colombia,Female,0,7.11
68279,46,Montenegro,Male,0,6.13
45478,85,Hong Kong,Female,0,5.92
36107,82,Costa Rica,Male,0,8.87
78374,41,Mauritania,Male,0,3.62
30224,69,Spain,Male,0,7.34
51892,69,El Salvador,Male,1,6.88
33894,31,Gabon,Female,0,3.46
77587,80,Suriname,Male,0,8.63
90869,64,Kosovo,Female,0,4.48
41186,44,Uruguay,Female,1,6.85
15033,43,Azerbaijan,Male,0,5.48
65177,43,Libya,Male,0,5.63
89172,65,Haiti,Male,0,3.18
93386,32,Bosnia and Herzegovina,Male,0,6.67
59024,74,Ethiopia,Male,0,5.94
10919,42,Japan,Female,0,5.35
25907,37,Morocco,Male,0,6.16
79993,71,Bulgaria,Male,0,4.31
47272,82,Ethiopia,Female,0,7.01
22698,26,Panama,Female,0,8.99
68730,42,Sweden,Male,0,6.39
50117,46,Togo,Male,0,4.33
58789,83,Bolivia,Female,0,5.71
24308,36,Turkey,Female,0,7.52
85893,89,France,Male,0,8.05
73667,51,Latvia,Female,1,3.72
38527,60,Somaliland region,Female,0,3.99
90266,44,Portugal,Male,0,5.03
10341,83,Jamaica,Male,0,6.81
86435,53,Saudi Arabia,Male,0,6.77
27971,63,France,Male,0,6.01
18203,63,Hong Kong,Male,1,7.96
23944,68,Italy,Female,0,5.53
42097,50,Niger,Male,0,4.61
20200,51,United States,Male,0,8.30
57924,49,Taiwan,Male,0,6.73
55975,63,Turkey,Male,1,7.18
60627,78,Lesotho,Female,0,3.65
88129,24,Guinea,Male,0,4.40
94738,59,Romania,Female,0,5.12
85078,33,Liberia,Male,0,5.31
20049,50,Colombia,Male,0,5.60
84623,24,North Cyprus,Female,0,4.71
57703,36,United Arab Emirates,Male,1,9.58
39379,77,Netherlands,Male,0,9.86
26149,63,Comoros,Male,0,3.86
71968,72,Jordan,Female,0,5.29
79888,83,Jordan,Male,0,5.31
12604,27,Rwand2a4,Male,0,3.60
33011,49,Spain,Female,1,6.88
22734,75,Palestinian Territories,Female,0,4.51
92926,46,Rwand2a4,Male,0,4.39
92039,33,South Korea,Female,0,6.21
32603,43,Iraq,Female,0,5.29
82446,31,El Salvador,Male,0,7.52
45921,89,United Arab Emirates,Female,0,7.34
76742,34,Bosnia and Herzegovina,Female,0,6.65
95440,40,Croatia,Female,0,5.88
73526,47,Ireland,Male,0,9.64
12708,41,France,Female,0,7.97
27964,76,Uganda,Female,0,5.55
66078,46,Palestinian Territories,Female,0,6.49
11785,76,Nepal,Male,0,4.63
62842,71,Cyprus,Female,1,7.26
47749,66,North Cyprus,Female,0,7.00
34726,46,Myanmar,Female,0,3.09
71846,48,New Zealand,Female,0,5.84
23635,50,Senegal,Male,0,4.71
54630,83,South Africa,Male,0,5.33
40366,49,Spain,Female,0,6.27
44266,46,Haiti,Male,0,2.72
38030,56,Ghana,Male,0,6.94
98725,45,Uzbekistan,Male,0,6.01
15102,60,Mauritius,Female,0,7.14
45789,48,France,Female,0,7.22
39260,23,Japan,Male,0,7.89
74011,59,Czech Republic,Male,1,8.74
66005,60,France,Female,0,6.98
63433,43,Moldova,Male,0,6.18
93339,85,Luxembourg,Female,0,6.93
54581,46,Serbia,Female,0,3.84
18984,86,Australia,Female,0,6.73
57990,40,Sudan,Female,0,4.23
80699,26,Venezuela,Male,0,7.13
16121,34,Benin,Male,0,4.86
66892,80,Sudan,Female,0,6.75
38925,28,Iceland,Male,0,5.79
20327,44,Central African Republic,Male,0,3.66
77013,43,Madagascar,Female,0,4.79
36019,38,Finland,Male,1,8.02
58002,44,Spain,Male,0,8.18
67301,86,Iran,Female,0,4.64
69859,45,Suriname,Female,0,7.45
64971,40,Senegal,Female,0,5.18
86909,46,Sudan,Female,0,4.87
49607,50,Costa Rica,Male,0,9.15
92072,40,Costa Rica,Male,0,9.10
26044,38,Angola,Male,1,5.76
92535,89,Germany,Female,0,8.06
50448,51,Burundi,Female,0,3.75
93752,53,Austria,Female,0,8.04
58998,48,Bulgaria,Male,0,5.54
77945,46,Australia,Female,0,9.59
51503,75,Chad,Male,0,4.84
30909,30,Oman,Female,1,9.43
19487,41,Australia,Male,0,8.50
13393,70,Suriname,Female,0,6.39
45787,43,Togo,Female,0,4.07
76685,41,Thailand,Female,1,7.63
18913,63,Netherlands,Female,0,7.09
72094,86,Malawi,Male,0,3.53
98675,44,Jordan,Male,0,4.57
30793,40,Guatemala,Male,0,5.66
49952,57,Singapore,Female,0,6.00
71282,43,Slovakia,Male,0,5.16
31828,43,Belgium,Male,0,6.50
88487,78,Uganda,Female,0,3.96
75527,54,Bulgaria,Female,0,3.13
95772,77,Switzerland,Male,0,6.53
41892,40,Thailand,Female,0,5.94
21424,72,Nepal,Female,0,2.18
71134,33,Bosnia and Herzegovina,Male,0,4.28
81935,63,Nigeria,Male,0,5.77
14243,42,Zambia,Female,0,5.27
67963,64,Kuwait,Male,0,8.94
56545,74,Ecuador,Female,0,7.22
87593,48,Cyprus,Male,1,6.80
86143,28,United Kingdom,Male,0,7.52
49820,30,Bosnia and Herzegovina,Female,0,4.63
90327,51,Norway,Male,1,9.95
16458,52,Thailand,Male,0,6.22
90731,72,Uzbekistan,Male,0,7.10
11777,66,Luxembourg,Female,1,7.46
33707,47,Moldova,Male,1,6.88
76680,26,Argentina,Male,0,6.43
94851,31,Burkina Faso,Male,0,3.91
63613,43,Angola,Female,0,7.87
80457,43,Suriname,Male,1,6.50
87629,72,India,Male,0,5.01
90796,86,Vietnam,Female,0,6.23
42921,25,Argentina,Male,0,8.71
63439,46,Norway,Male,0,8.00
59131,40,Poland,Female,0,6.75
61155,77,Kyrgyzstan,Male,0,7.24
43203,70,South Africa,Male,0,5.74
33217,77,Austria,Male,0,9.18
14541,29,Kyrgyzstan,Female,0,6.56
88511,41,Paraguay,Male,0,3.84
12958,25,Paraguay,Female,0,6.06
16236,32,Tajikistan,Female,0,5.34
37066,48,North Cyprus,Female,0,3.99
13060,41,Mexico,Female,0,7.96
42462,57,Bosnia and Herzegovina,Female,0,3.78
32138,50,Cambodia,Male,0,3.13
21664,35,Bulgaria,Male,0,3.94
21692,70,Japan,Female,0,6.78
73608,48,Kyrgyzstan,Female,0,3.48
59562,70,Malawi,Male,0,4.36
72234,70,Paraguay,Male,1,8.29
69613,44,Luxembourg,Female,0,7.74
59754,54,Zambia,Female,0,6.46
57590,44,Madagascar,Female,0,3.58
99607,82,Bolivia,Female,0,4.89
84915,40,Malaysia,Male,0,7.32
67502,62,Cameroon,Female,0,5.60
39648,44,Chad,Male,0,3.82
43807,83,Hungary,Male,0,6.22
29766,46,France,Male,0,7.07
14221,56,Greece,Female,0,5.15
99537,81,Luxembourg,Male,1,5.60
87401,70,Peru,Male,0,6.29
45191,78,Mauritius,Female,0,3.95
77473,44,Chile,Female,0,5.78
30831,30,Thailand,Female,0,8.37
76626,80,Palestinian Territories,Male,0,4.41
23719,45,Morocco,Female,0,6.18
18649,48,Taiwan,Male,0,8.52
33346,45,Malaysia,Female,0,4.32
66343,67,Chad,Female,0,6.29
27761,53,Kenya,Male,0,5.86
63936,35,Austria,Female,0,5.44
52220,43,Chile,Female,1,7.13
15983,53,Jamaica,Male,0,4.01
59503,47,Serbia,Female,0,7.30
37987,80,Algeria,Female,0,5.19
13283,81,India,Female,0,4.16
94713,60,Egypt,Female,0,4.82
22616,88,China,Female,0,4.44
15816,47,Guinea,Male,0,4.26
21048,64,Ukraine,Male,0,7.67
93588,82,Jordan,Female,0,5.32
15101,71,Mongolia,Female,0,4.40
96735,76,Ireland,Male,0,5.47
55432,52,Trinidad and Tobago,Male,1,6.69
11762,73,Dominican Republic,Male,0,5.81
92529,46,Pakistan,Male,0,4.15
98911,72,Rwand2a4,Male,0,5.47
20358,37,Kazakhstan,Male,0,5.77
82935,48,Peru,Female,0,7.49
75911,45,Tajikistan,Female,0,5.21
47823,81,Turkmenistan,Female,0,6.40
97376,67,Saudi Arabia,Female,0,7.56
27044,69,Comoros,Female,0,3.92
58683,38,Estonia,Female,0,4.33
84294,59,Finland,Male,0,8.93
38667,45,Tajikistan,Male,0,3.03
24005,61,Laos,Female,0,3.41
52913,58,Egypt,Female,0,4.92
62885,43,Haiti,Male,0,4.80
57291,48,Mexico,Male,0,8.54
83551,37,Malawi,Female,0,5.99
23963,82,Switzerland,Male,0,8.33
92479,23,Bosnia and Herzegovina,Male,0,6.66
57212,67,Mexico,Female,0,5.71
99187,48,Denmark,Male,0,6.94
72130,61,Burkina Faso,Female,0,4.31
17889,60,Israel,Male,1,9.42
79194,44,Indonesia,Female,0,7.48
79330,46,Montenegro,Male,0,5.87
40771,71,Argentina,Female,0,5.81
24347,33,Montenegro,Male,0,6.57
17797,57,Belgium,Male,1,8.27
79297,36,Yemen,Male,0,4.15
28850,32,Algeria,Female,0,5.04
18537,71,Burkina Faso,Male,0,5.22
58108,46,Brazil,Female,1,5.53
54497,73,Belarus,Female,0,6.22
79452,74,Sweden,Female,0,8.07
54737,25,Kyrgyzstan,Male,0,5.04
19637,82,Serbia,Male,0,6.87
57499,63,Slovenia,Male,0,7.79
66556,78,Ecuador,Female,0,6.43
23521,73,Myanmar,Female,0,6.16
72018,82,Suriname,Male,0,4.71
35129,75,Bosnia and Herzegovina,Male,0,6.94
77158,43,Sri Lanka,Male,0,3.53
85990,39,Czech Republic,Female,0,5.87
45826,29,Guinea,Male,0,3.63
53259,44,Dominican Republic,Female,0,6.66
19446,47,Liberia,Male,0,5.02
68056,76,Uganda,Female,0,6.20
95770,89,Egypt,Male,0,3.62
70265,48,Tajikistan,Female,0,5.75
78027,42,Iraq,Female,0,6.07
22964,39,Macedonia,Female,0,7.04
91404,25,Malaysia,Female,0,5.77
94608,46,Burundi,Female,0,5.50
60488,71,Jamaica,Female,0,5.53
39140,48,Turkey,Male,0,4.59
54400,41,Malta,Female,0,7.08
58336,49,United States,Female,0,9.34
86571,25,Bulgaria,Female,0,3.89
79846,69,Burkina Faso,Female,0,3.38
86918,89,Burundi,Female,0,4.45
40246,66,Mexico,Male,0,8.03
38800,46,Mauritius,Female,0,5.08
18596,75,Uruguay,Male,0,5.81
49954,58,Congo-Kinshasa,Female,0,5.54
46384,69,El Salvador,Male,0,5.47
21490,47,Suriname,Male,0,5.82
78219,54,Malaysia,Male,0,5.67
44709,46,Zambia,Female,0,6.58
71619,59,Uganda,Male,0,6.25
73939,44,Estonia,Female,0,5.88
32572,83,Czech Republic,Female,0,5.17
32330,51,Norway,Male,0,8.99
98768,80,Bolivia,Male,0,5.86
82914,86,Zimbabwe,Male,0,6.75
82447,70,Georgia,Female,0,3.75
56871,77,El Salvador,Male,1,6.52
46688,47,Sweden,Male,0,7.90
35002,40,Laos,Male,0,5.53
88839,67,Turkey,Female,0,5.97
67818,50,Togo,Female,0,2.55
11942,76,Yemen,Male,0,4.99
94053,88,Macedonia,Male,0,5.45
65550,63,Honduras,Male,0,5.25
26558,42,Botswana,Male,0,5.22
77256,79,Lebanon,Female,0,4.82
43829,86,Georgia,Male,0,3.58
30955,49,Serbia,Male,0,6.21
83320,40,Slovakia,Female,1,8.14
90849,39,China,Female,0,6.10
25126,31,Bulgaria,Male,0,3.88
84739,57,Belarus,Female,0,6.08
38663,84,Italy,Male,0,6.11
